@RELATION music_speech
@ATTRIBUTE F1_MEAN NUMERIC
@ATTRIBUTE F2_MEAN NUMERIC
@ATTRIBUTE F3_MEAN NUMERIC
@ATTRIBUTE F4_MEAN NUMERIC
@ATTRIBUTE F5_MEAN NUMERIC
@ATTRIBUTE F6_MEAN NUMERIC
@ATTRIBUTE F7_MEAN NUMERIC
@ATTRIBUTE F8_MEAN NUMERIC
@ATTRIBUTE F9_MEAN NUMERIC
@ATTRIBUTE F10_MEAN NUMERIC
@ATTRIBUTE F11_MEAN NUMERIC
@ATTRIBUTE F12_MEAN NUMERIC
@ATTRIBUTE F13_MEAN NUMERIC
@ATTRIBUTE F14_MEAN NUMERIC
@ATTRIBUTE F15_MEAN NUMERIC
@ATTRIBUTE F16_MEAN NUMERIC
@ATTRIBUTE F17_MEAN NUMERIC
@ATTRIBUTE F18_MEAN NUMERIC
@ATTRIBUTE F19_MEAN NUMERIC
@ATTRIBUTE F20_MEAN NUMERIC
@ATTRIBUTE F21_MEAN NUMERIC
@ATTRIBUTE F22_MEAN NUMERIC
@ATTRIBUTE F23_MEAN NUMERIC
@ATTRIBUTE F24_MEAN NUMERIC
@ATTRIBUTE F25_MEAN NUMERIC
@ATTRIBUTE F26_MEAN NUMERIC
@ATTRIBUTE F1_STD NUMERIC
@ATTRIBUTE F2_STD NUMERIC
@ATTRIBUTE F3_STD NUMERIC
@ATTRIBUTE F4_STD NUMERIC
@ATTRIBUTE F5_STD NUMERIC
@ATTRIBUTE F6_STD NUMERIC
@ATTRIBUTE F7_STD NUMERIC
@ATTRIBUTE F8_STD NUMERIC
@ATTRIBUTE F9_STD NUMERIC
@ATTRIBUTE F10_STD NUMERIC
@ATTRIBUTE F11_STD NUMERIC
@ATTRIBUTE F12_STD NUMERIC
@ATTRIBUTE F13_STD NUMERIC
@ATTRIBUTE F14_STD NUMERIC
@ATTRIBUTE F15_STD NUMERIC
@ATTRIBUTE F16_STD NUMERIC
@ATTRIBUTE F17_STD NUMERIC
@ATTRIBUTE F18_STD NUMERIC
@ATTRIBUTE F19_STD NUMERIC
@ATTRIBUTE F20_STD NUMERIC
@ATTRIBUTE F21_STD NUMERIC
@ATTRIBUTE F22_STD NUMERIC
@ATTRIBUTE F23_STD NUMERIC
@ATTRIBUTE F24_STD NUMERIC
@ATTRIBUTE F25_STD NUMERIC
@ATTRIBUTE F26_STD NUMERIC
@ATTRIBUTE class {music,speech}

@DATA
33.201681,-8.667270,-9.361388,-2.758352,-2.257224,-0.279005,0.565747,-0.167854,-1.273295,-0.960261,0.066060,0.553094,0.703865,0.297457,0.491185,-0.129428,-0.601225,-0.814748,-0.255572,0.349747,0.432250,0.372325,0.452186,0.516878,0.430441,0.028054,24.485965,4.916254,3.478564,2.253215,1.888086,1.907670,1.782216,1.870227,1.657633,1.504205,1.601013,1.461595,1.293545,1.147141,1.267374,1.531117,1.595298,1.457871,1.154039,1.393330,1.176707,1.040870,0.899606,0.925739,0.998841,1.068247,music
9.526360,5.700999,-6.865255,4.947525,-0.548534,-0.247246,-0.143040,-1.012622,-1.082178,-0.602037,-0.566299,-0.323854,0.413509,0.415634,0.133784,0.227988,0.114864,0.184645,0.031484,0.049524,-0.100576,-0.220877,0.184525,0.192867,0.034006,-0.058467,10.104183,3.080579,3.184678,2.621058,1.948592,1.426093,1.462422,1.238887,1.140345,0.998085,0.945980,0.995393,0.788597,0.812556,0.670949,0.720874,0.626162,0.824769,0.710968,0.615174,0.595345,0.631819,0.599602,0.564002,0.528764,0.524717,music
43.855117,-10.538376,-3.438958,-0.400859,-1.227358,0.574468,-1.834622,-0.638464,-0.582253,-0.129286,-0.027491,0.373015,0.269362,0.362393,0.707626,0.424277,0.068180,-0.257097,-0.702163,-0.386592,-0.703253,-0.500354,-0.063458,-0.174066,-0.082889,-0.045317,14.001343,5.926496,3.603275,2.375198,2.260217,2.049709,2.111156,1.701147,1.632059,1.268752,1.274890,1.381643,1.329851,1.273022,1.306631,1.116876,0.982857,0.871122,1.072232,0.998655,0.883359,0.829733,0.740423,0.670455,0.672439,0.675343,music
-2.240336,-1.224756,-4.720420,0.575134,-0.941445,-1.869121,-0.401736,0.617103,0.195807,0.366599,-0.761995,-0.388864,-0.015465,0.480966,0.816426,0.952032,0.160930,-0.233838,-0.473951,-0.011255,0.137422,-0.148967,-0.148213,0.295738,0.276753,0.174819,10.694480,2.815459,3.017125,1.751444,1.367451,1.422438,1.229159,1.377131,1.320475,1.057300,1.144766,1.076602,1.285618,1.054304,1.166102,1.356131,1.017050,0.866024,0.846492,0.927392,0.907625,0.859732,0.877502,0.771066,0.878242,0.955630,music
1.474336,0.992915,-3.443345,-2.474775,-2.274307,-1.706031,-1.449458,-0.386986,-0.597605,0.385498,0.026888,0.430187,0.093820,0.493813,0.548095,0.554061,-0.282332,-0.407077,-0.436840,-0.302710,-0.171418,-0.051979,-0.073379,-0.280190,-0.231989,0.012616,16.473084,4.346918,4.152535,2.572728,1.187563,1.215584,1.036796,1.029334,1.072997,0.920282,1.087008,1.155567,1.088803,0.991301,1.046585,0.939283,0.981530,1.036964,0.932259,0.827040,0.783065,0.708934,0.651657,0.545441,0.605508,0.605319,music
-0.027978,-3.368557,-2.407829,-0.181289,-2.163975,-1.488678,-2.038335,-0.757878,-0.953367,-0.312825,-0.778091,-0.168177,-0.352400,0.010688,0.022098,0.197527,-0.251418,0.161621,0.234904,0.386230,0.441021,0.329547,0.345123,0.193870,0.024094,0.075123,19.853976,4.310458,4.544660,1.689699,1.563593,1.481085,1.320221,1.111753,1.251422,1.019433,0.995800,0.953234,0.891707,0.654282,0.716132,0.752730,0.644678,0.783226,0.981987,1.027211,1.064472,0.858816,0.608286,0.630569,0.582317,0.450691,music
-5.017932,1.436982,-4.011115,-0.776396,-1.099226,-1.825629,-0.890246,-0.296299,-0.640795,-0.050600,-0.546555,0.329935,0.331128,0.272445,-0.223996,-0.114820,-0.100118,-0.123569,0.045303,0.084629,-0.255670,-0.358723,-0.154077,-0.106394,-0.249821,-0.346098,20.878237,6.540454,3.898417,1.780901,1.791197,1.393932,1.297650,1.214435,1.325092,1.210300,1.421253,1.600021,1.336830,1.122580,1.385374,1.297120,1.205196,0.942449,1.065235,1.151104,0.920575,1.012371,1.005223,0.732509,0.958409,0.865509,music
19.898972,-9.014389,-9.597146,-0.009990,1.896590,-2.911013,-1.798509,0.507847,0.326212,1.664638,0.860804,1.868698,1.719383,1.302894,1.462466,1.176768,0.375564,0.052819,0.501156,0.534343,0.343214,0.336161,0.070752,0.301563,-0.109225,-0.468669,10.204014,2.691562,4.333932,1.724750,1.939637,2.600620,1.702752,1.738359,1.346025,1.309416,1.124016,1.255712,1.430342,1.158403,1.257896,1.146549,1.118754,1.028752,1.124786,1.117759,0.963141,0.956973,0.842936,0.768087,0.800278,0.960352,music
31.971625,-6.000686,3.045154,-3.434106,-2.932822,-0.933067,0.582023,1.548028,0.814115,-0.126501,-0.063679,0.849825,1.191138,0.330622,0.014664,0.233952,-0.222228,0.045508,0.095321,0.162142,-0.327972,-0.298212,-0.011412,0.307291,-0.032811,-0.025301,11.211241,4.306538,3.148113,2.668040,2.185609,1.631425,1.620905,1.312662,1.372503,1.428888,1.142061,1.506163,1.485409,1.201209,1.310876,1.488758,1.403328,1.272151,1.098229,1.064178,1.010391,0.972558,0.702850,0.747681,0.786297,0.801339,music
-10.951451,2.420399,3.852845,-1.435539,-3.391572,-3.902749,-2.852630,-0.722161,-1.828385,-1.457234,-2.272827,-1.064048,-1.615938,-1.183954,-0.384381,-0.315023,-0.908576,-0.384790,-0.138007,-0.725732,-0.120855,-0.413307,-0.200977,-0.064735,-0.160390,0.133519,12.514483,5.101072,2.392783,3.271045,2.651109,2.001814,1.533130,1.721754,1.789279,1.408603,1.238414,1.251505,1.193721,1.297916,1.074327,1.082678,1.327260,1.132778,1.209537,1.235021,0.917499,0.764118,0.770163,0.808707,0.715860,0.644054,music
22.767257,-8.154017,-5.125735,1.331223,-0.703500,-0.716382,0.810805,1.106347,-0.631597,-0.041964,0.808884,0.303534,-0.125088,-0.183278,-0.161889,0.291003,-0.534895,-0.320475,0.038252,-0.055560,-0.172056,-0.191256,-0.190430,-0.331519,-0.262233,-0.027209,9.876753,4.552503,3.330249,2.036756,1.966490,1.388893,1.755498,1.340853,1.295528,1.173627,1.177114,0.989700,1.003079,0.971215,0.926942,1.007605,0.861961,0.712438,0.734110,0.726614,0.653206,0.622455,0.558281,0.616374,0.706788,0.585740,music
8.793195,2.180413,-6.983615,-2.560079,-2.236539,-1.726828,-1.697647,-0.870127,-1.874799,-0.401696,-0.011815,0.533414,0.455766,-0.107239,-0.023185,0.473151,0.230688,-0.185947,-0.134679,-0.288995,-0.128647,0.317568,0.112290,-0.164613,-0.241788,0.037945,19.840361,5.270481,2.819023,2.277368,1.365876,1.468454,1.190253,1.255490,1.145412,0.946628,1.041900,1.118680,0.928937,0.995903,0.991027,1.130376,0.955605,0.845104,1.002438,1.047740,1.024634,0.857581,0.671797,0.589359,0.753940,0.835058,music
16.188024,-9.666387,0.846980,0.146477,-0.424250,0.232516,-0.013863,-0.632571,-0.173053,0.230004,0.018437,0.070861,-0.172244,-0.083203,0.156179,0.405354,-0.182673,0.016955,0.156423,0.010867,-0.195082,-0.046654,-0.144941,-0.227180,-0.043239,-0.046584,12.360028,4.516153,3.468279,2.882522,2.510002,1.848253,1.800518,1.769393,1.411287,1.280836,1.216195,1.137255,1.251480,1.365386,1.251710,1.137514,1.146077,1.160341,1.027823,1.062198,0.885209,1.002666,0.963934,0.729281,0.863589,0.840444,music
17.808921,-7.772957,-0.462203,0.636546,-0.170653,0.790340,0.602438,-0.487993,0.709800,0.179958,-0.117226,0.257706,0.117962,0.761069,0.857029,0.916887,0.380896,-0.027563,-0.552401,-0.915385,-0.632694,-0.149883,-0.137769,0.116762,-0.022979,-0.079566,20.348006,4.952957,3.807603,2.453113,2.533732,1.923720,1.891884,1.633803,1.567535,1.376913,1.421247,1.511581,1.298058,1.419607,1.212041,1.268548,1.108154,1.149481,1.359545,1.147530,1.052526,0.943162,0.940608,0.712417,0.795090,0.857821,music
6.004226,3.630260,-10.533166,4.948650,2.533851,-0.069587,-1.007575,-3.474265,-1.356731,-0.614634,-0.533483,0.777580,-0.095221,0.219313,-0.653391,-0.401301,0.117619,-0.165222,0.333965,-0.080056,-0.042203,-0.102668,-0.217714,-0.050032,-0.171925,-0.144324,15.964046,3.242840,5.098768,2.945358,2.608590,1.504976,1.648657,1.392885,1.286660,1.103552,1.124451,1.149471,1.055214,0.987032,0.927831,0.895715,1.030997,1.076477,1.020127,0.851851,0.857210,0.745020,0.664715,0.792107,0.804481,0.598725,music
17.821412,-10.599370,-10.393935,-0.269388,0.385090,-7.173122,-4.340064,-0.344666,-2.417685,0.598735,1.663913,0.944832,1.214848,2.095449,1.656367,0.779001,0.303815,0.397149,0.509855,0.397563,-0.061491,0.134037,0.080191,0.062656,-0.089117,0.585431,8.336513,2.736900,3.960559,2.268938,3.410242,3.371679,2.313043,1.342311,1.621509,1.328031,1.612637,1.002509,1.165336,1.218498,1.072057,1.015955,0.740823,0.696367,0.866454,0.825883,0.720891,0.716750,0.659684,0.600397,0.518692,0.564070,music
20.060775,-13.254983,-2.610420,-0.124160,-1.342855,0.377327,-0.506147,0.294700,-0.314745,0.142400,0.151521,0.536298,0.206429,0.571226,0.104864,0.230700,0.404559,0.132553,-0.352798,0.068822,-0.297429,-0.332050,-0.150389,-0.036809,-0.155951,0.186881,7.198417,3.411410,2.662856,1.781734,1.261857,1.063284,1.393417,1.248983,1.260082,1.387034,1.090596,0.998414,1.253177,1.359697,1.375783,1.185881,1.147770,1.039665,0.993703,0.925465,0.782476,0.892165,0.784390,0.716607,0.724261,0.895944,music
16.256062,-14.125254,4.680722,0.991397,1.070605,0.356073,0.222019,0.837524,-0.358771,-0.339116,-0.135934,0.706270,-0.087699,0.922910,0.328442,0.725054,0.068621,-0.024108,-0.000342,0.162367,0.095400,0.281732,0.194945,0.092648,0.331082,-0.374305,9.554892,3.293492,2.422537,1.882622,1.222225,1.081532,1.176450,1.190229,1.069493,0.992287,0.955952,0.881186,1.049287,0.871999,0.730324,0.703886,0.789419,0.725796,0.675295,0.682676,0.574892,0.539712,0.550828,0.621448,0.687279,0.546565,music
-13.619310,-16.086820,1.835267,-0.736688,2.951973,-0.735702,-2.020079,-1.384585,-0.371346,-0.303345,-0.026379,-0.466007,0.080580,1.143885,-1.594462,-0.246306,0.283662,-0.788190,1.508024,-0.460203,-0.370925,-0.303147,-0.202486,0.236511,-0.392629,0.123120,14.898813,4.558681,6.312259,2.875133,1.932056,1.768026,1.530133,1.433071,1.330170,2.219552,2.138937,1.715688,1.500862,2.250020,1.790855,1.852574,1.575696,1.961641,1.322733,1.203160,1.263520,1.166704,1.013177,1.073204,0.863015,0.838010,music
26.494893,-3.402926,-0.729595,0.831535,-3.243663,1.396367,-1.093318,0.180748,-0.199908,-0.304919,-0.364942,-0.478417,-0.740150,-0.515959,-0.641716,-0.318601,-0.781300,-0.558441,-0.567209,-0.334048,-0.637970,-0.393961,-0.322122,-0.575954,-0.680416,-0.289505,17.476613,7.185838,3.178484,1.594741,1.406850,1.285393,1.116460,1.036172,1.001974,0.926804,0.934567,0.837014,0.822160,0.804194,0.751630,0.707909,0.649987,0.671639,0.641952,0.619756,0.565425,0.696376,0.636893,0.604884,0.809206,0.673293,music
21.874956,-8.773033,-8.892089,0.577397,-0.560175,-6.485311,-4.262020,-1.700969,-1.420343,1.210666,1.019682,1.513202,2.052225,2.162303,1.902467,0.834007,0.473095,0.178335,0.324322,0.504808,-0.031869,0.027753,0.206478,0.664812,0.050873,-0.331955,6.325913,1.497223,2.020721,1.456502,1.230160,1.605727,1.168672,1.140836,1.051399,0.932193,0.902612,1.118962,1.063403,0.831061,0.841325,0.885118,0.850854,0.887697,0.929676,0.797516,0.723724,0.727347,0.706591,0.628237,0.731282,0.956007,music
44.139842,-12.427679,-0.034059,0.752223,0.052242,1.031284,-1.806521,-1.494417,-0.303115,-0.492024,-1.368610,-0.598329,0.479674,-0.247268,-0.610761,0.077956,0.551510,-0.120538,-1.271058,-0.223241,0.372173,-0.309818,-0.640226,0.031129,-0.098427,0.124957,11.083603,3.910525,2.660207,2.282735,3.755923,1.953543,2.260882,1.582901,2.576537,1.621699,2.416345,1.536535,2.421937,1.534866,1.549669,1.342959,1.214352,0.983572,1.266534,0.969917,1.254111,0.930935,0.855823,0.887496,0.834952,0.963562,music
30.513447,-12.245140,-1.685072,-0.628968,-1.997334,-0.550762,-1.279407,-0.963552,-1.481609,-0.728663,-0.229251,-0.336400,-0.248362,0.075850,-0.270657,0.009697,0.175851,-0.039936,-0.727142,-0.074360,0.070495,-0.239037,-0.245400,0.094330,-0.103214,-0.101847,15.897123,6.284348,5.205701,3.614147,2.787194,2.128898,2.285144,1.808423,2.084095,1.542055,1.613027,1.497045,1.310145,1.220005,1.163773,1.298465,1.117854,1.128667,1.141927,1.175386,0.901602,1.030538,0.946321,0.899540,0.878548,0.739204,music
-21.655703,3.762272,3.522828,-0.587976,0.348653,-1.978036,-1.795910,-1.112968,-1.712904,-1.128443,-1.198566,-0.889717,-0.335698,0.816044,1.138998,0.970331,0.322686,-0.096639,-0.166218,-0.503871,-0.574124,-0.751172,-0.623561,-0.250793,0.252367,0.347582,11.108842,3.180756,3.480315,1.895500,1.337144,1.359573,1.284823,1.117261,1.231563,1.024049,1.149685,1.002585,1.313353,1.516599,1.325125,1.066981,1.104734,1.282649,1.421362,1.355644,1.043576,0.730892,0.783398,0.813647,0.703150,0.804585,music
30.824122,-4.777182,-6.236016,3.911075,-0.453972,0.581084,-2.175754,0.938499,0.074748,0.411029,-1.346074,-0.699400,-0.150261,-0.478519,0.308788,-0.532949,-0.349294,0.037589,-0.376123,0.372857,0.013645,0.000702,0.075852,-0.354877,-0.194098,0.370946,9.598811,3.593795,3.407069,2.030963,1.583270,1.308797,1.193720,1.194262,0.988281,0.960412,0.840111,0.863507,0.855868,0.879151,0.747855,0.658048,0.611350,0.701926,0.670128,0.544935,0.518441,0.511280,0.493730,0.542793,0.478446,0.569521,music
21.887431,-10.939516,-7.479167,-1.009055,0.226312,-5.576015,-4.338107,-3.039917,-3.198030,-0.713034,-0.678596,0.858380,0.769074,0.546342,2.324069,0.700389,0.447766,-0.019112,-0.018341,0.092992,0.241511,0.612212,0.118455,0.362642,0.657057,0.372923,8.110820,3.999650,3.147992,2.188868,1.505460,1.758084,1.487609,1.494533,1.466062,1.104855,1.140250,1.175837,1.247606,1.179608,1.046810,1.048357,1.100393,0.871319,0.952259,1.010192,0.890416,0.618770,0.601193,0.663650,0.603979,0.649110,music
20.399840,-12.844932,-2.295230,1.789253,-0.585499,-0.411118,0.580534,1.351988,-0.524536,0.725619,1.046605,0.282483,-0.341110,0.091634,0.193361,0.253520,-0.004448,-0.252417,-0.251085,0.163142,-0.295244,-0.293347,-0.492507,-0.177345,-0.034155,-0.456536,7.086756,3.194996,2.943067,1.692890,1.458391,1.278933,1.364156,1.392966,1.311223,1.195719,1.029812,1.029836,1.045179,1.068316,1.026378,0.915671,0.928480,0.883214,0.700014,0.824886,0.833564,0.778692,0.845443,0.745728,0.772446,0.770675,music
16.909644,-6.740249,-5.934429,-2.269122,0.930422,0.902382,-0.085589,-0.238643,-0.368755,0.157290,-0.295580,-0.152420,-0.061756,-0.038993,-0.196763,0.532695,0.230104,0.119248,-0.459369,-0.295582,-0.635967,-0.412599,-0.107407,0.079010,-0.151520,-0.196982,11.242435,4.290539,4.678433,1.961851,1.344410,1.240229,1.270993,1.064661,1.071931,1.079379,1.158071,1.152446,1.266150,1.313127,1.468412,1.426699,1.405766,1.138969,1.202755,1.225340,1.055896,1.048931,1.054756,0.981072,0.952924,1.085649,music
40.055722,-16.481791,-16.715366,-1.072701,1.057067,-8.064911,-3.307495,-1.900912,-1.771258,0.940780,-0.368847,1.183712,0.971868,0.447669,1.715825,0.969105,1.664791,-1.515212,1.129719,-0.373640,-0.454110,0.436991,-0.069993,0.619908,0.233196,-0.375372,3.440089,1.973389,1.904700,1.370227,1.022577,0.995826,1.050220,0.957536,0.966372,0.859020,0.704476,0.838403,0.785703,0.729342,0.726038,0.707198,0.611656,0.545817,0.609273,0.613737,0.539203,0.496854,0.470502,0.439926,0.427612,0.431202,music
23.887047,-7.388254,-9.846495,-1.708881,-1.476694,-5.638930,-2.594080,-1.612673,-2.488612,0.788787,0.061499,0.358645,1.812401,1.533967,1.796868,1.681798,0.964504,0.242822,0.648309,0.820062,0.536045,0.523286,0.040976,0.639133,0.310730,0.072248,6.332536,1.346082,2.273786,1.462992,1.736711,1.611024,1.673349,1.089109,1.301322,1.035885,0.973212,1.093957,0.925177,0.878289,0.989824,1.021615,0.735386,0.685595,0.831363,0.981032,1.152917,0.867011,0.622848,0.605175,0.691412,0.631324,music
26.899170,-5.650469,-10.355338,-2.728159,-0.156743,-6.042250,-5.620955,-2.730180,-2.158056,-0.112270,-0.826966,1.443783,1.158857,0.280868,1.345457,0.987906,0.237183,-0.067696,-0.118694,0.061524,0.161976,-0.181809,-0.375041,0.334165,0.078434,-0.008564,5.809303,1.398703,2.393135,1.085376,1.084563,1.323443,1.074610,0.948596,1.049903,0.907066,0.958496,0.936903,0.875991,0.927453,0.887957,0.823273,0.714480,0.680534,0.690618,0.672314,0.672223,0.586793,0.576737,0.602381,0.607851,0.570579,music
